collocate,raw_frequency,MI
 immense,1,10.209617843986573
 fireplace,1,10.94306740357054
 wall,2,8.929030558916125
 car,1,10.237016818174688
 sister,2,8.369827499534994
 anne,1,9.91623479729656
 effect,2,8.969106634899406
 le,1,11.133211686045703
 dja,1,16.385485114092333
 tlphon,1,16.385485114092333
 delicacy,1,10.892423670751786
 caught,2,8.84009536448051
 dark,2,7.950370033711703
 baby,1,9.403550436935946
 within,1,8.322422202765543
 hear,3,7.846921896939904
 invented,1,11.49513598587058
 professional,1,10.648912816613143
 taken,2,7.954939729401769
 blore,1,14.188260536756115
 dozen,1,9.84445511490243
 explanations,1,11.436725223714166
 town,1,8.420981750540786
 clare,1,9.436587891779022
 let,2,7.279505757440894
 them,9,6.039622099427945
 know,7,6.496045777282265
 halfpast,1,10.681702639436132
 per,1,10.938747742426024
 do,14,6.06420870375921
 lawrence,1,11.487645314141423
 rose,3,8.158376879744187
 ll,3,10.331045767822964
 burton,2,13.677434912990124
 beside,1,8.873413868256867
 aunt,1,8.587372485262547
 bad,1,8.463586703068538
 headache,1,11.374849819996077
 couldn,4,9.00835140125838
 were,6,5.64776323014135
 drinking,1,10.230627020075916
 tea,3,8.989149820291527
 dinny,1,10.3668918995961
 such,2,6.693521384158373
 talk,6,7.881985249808099
 occurred,1,9.69837650622582
 summoned,2,10.698509757752515
 deathbed,1,12.136989872042975
 glass,1,8.940067557390647
 wants,1,9.337098705370451
 me,14,5.237468397987941
 again,6,6.718289677625691
 five,4,8.637025090192637
 clock,1,9.995244447026984
 look,1,7.084025148748667
 my,4,5.174435308986868
 c,4,10.900688180601678
 cigarette,1,10.828657052392796
 got,6,7.608238017341789
 up,19,5.9847436178203095
 trunk,1,10.82096470676964
 seeped,1,15.692337933532388
 lawyers,1,10.94306740357054
 lunch,2,10.317059525848224
 monday,2,10.809536010946017
 tony,1,11.043150862127522
 croom,2,11.057608945302754
 mount,1,10.510554383240303
 street,4,8.463949481958785
 ryder,1,14.776047201658233
 concerning,1,10.217968623203992
 young,1,6.852916325911787
 therefore,2,8.86633515642251
 lunchtime,1,13.441046134925893
 n,3,9.448171032868652
 inn,1,9.554610879446155
 beyond,1,8.566250660233264
 lamplit,1,13.05328060391713
 no,17,5.770715810800778
 forth,1,8.726313746426277
 moon,1,9.367083315023134
 riding,1,10.160926684816975
 high,1,8.169397015460017
 sta,1,12.601295480174073
 england,1,8.627578905740586
 also,1,7.970989320914439
 helen,1,9.077612333328627
 edinburgh,1,12.453659481368009
 inquire,1,10.65538533111876
 endeavoured,1,11.374849819996077
 act,3,9.174666660620113
 counsel,1,10.450590918472747
 saying,6,8.431815335442536
 tremendous,1,10.790773734490495
 strain,1,10.571354582267267
 refreshing,1,12.211097844196697
 door,4,7.453933147397812
 like,6,6.261978887589521
 sainted,1,13.166609289224134
 virgin,1,11.117626955029007
 madie,1,13.987589841293964
 getting,2,8.865250557617706
 tan,1,13.294442660734019
 stooping,1,11.038377583374865
 earth,2,8.652239467562538
 sable,1,12.473462108664188
 freedom,1,9.97860512802302
 george,1,8.337975603110912
 calling,2,9.692161445822386
 leslie,1,9.930286550752212
 mexican,1,11.458231428935129
 chambermaid,1,12.671913047388026
 pe,1,15.692337933532388
 governor,2,10.776013318907374
 report,1,10.258615929978149
 goes,1,9.213060536967488
 starts,1,11.74109421495096
 ah,1,9.264232660847792
 chins,1,13.249990898163185
 expect,1,9.34319894215259
 dummy,1,13.49511335619617
 isn,3,8.830626593051658
 anywhere,1,10.112608107546166
 glare,1,11.067365120248118
 uneven,1,12.493664815981708
 flat,1,9.931860115199642
 roofs,1,11.374849819996077
 loose,1,10.019014666360896
 trailing,1,11.991035959419895
 across,2,8.346327723619096
 sudden,1,8.789092810028137
 deep,1,8.475995621418575
 will,8,6.062892567744007
 leave,2,7.96546383442837
 cannot,1,8.07335000644392
 ixtlahuacan,1,14.439574965037021
 time,5,6.483799183502834
 jos,1,12.671913047388026
 rushed,1,9.84301315358553
 bandits,3,12.984287732430179
 ranchbuilding,1,16.385485114092333
 diningroom,1,10.321699905404726
 jose,1,11.831608222491793
 dawn,1,10.10884162475069
 cook,1,10.197220991009743
 who,10,5.989559966103493
 boys,2,9.359058305392699
 little,6,6.130883048198123
 according,1,9.564377641835868
 record,2,10.960535096610931
 p,2,11.549203207140856
 teachers,1,11.573300758719917
 first,2,6.970409590485296
 book,2,8.699782052857786
 hinted,1,11.019509099070483
shakespeare's ,1,15.286872825424224
 travel,1,10.374217939688172
 exactly,1,9.288763735597573
 travels,1,11.458231428935129
 grand,1,9.288763735597573
 organ,1,11.279539640191754
 pealed,1,13.987589841293964
 sonorously,1,14.082900021098288
 dine,1,10.182949596904411
 f,4,11.821136922624497
 these,2,7.083568798628941
 years,1,7.661115164883966
 sara,3,9.768082136117856
 kneeling,1,10.747130444758588
 nobody,3,9.042705924760488
 raised,1,9.109620513545801
 stood,4,7.547513622735126
 looking,2,7.581160001529796
 silhouet,1,16.385485114092333
 put,5,7.298103649516599
 says,3,7.897514781352999
 met,2,8.409233170346711
 tonight,3,9.10823738746085
 u,1,13.207431283744388
 versions,1,14.188260536756115
 together,2,7.897103004530216
 one,5,5.745216343976199
 chair,1,8.481519480060168
 love,2,7.156322987875563
 began,4,7.719182500088255
 here,7,6.845769055115241
 exclaimed,2,8.886061823500105
 spoke,2,8.034582662397524
 extreme,1,10.061126151711022
 irritation,1,10.978313342632216
 r,1,11.863696537043294
 longer,2,8.628861779553477
 over,4,6.618963416629363
 pause,2,9.392469991159373
 receiver,4,12.984287732430179
 answering,1,10.668457412686113
 sitting,2,8.652239467562538
i'm ,2,9.233999650187599
 holding,2,9.193303055379088
 smiled,4,8.731990204431082
 smiling,1,9.078282799327596
 two,8,6.790971369475609
 peggy,1,11.249686677042073
 simultaneously,1,11.831608222491793
 while,4,7.291790924235472
 eleanor,5,9.816003693678038
 picture,2,9.193303055379088
 gran,1,12.721923467962688
 stick,1,9.772100895712775
 waited,1,9.110312794639562
 hands,1,7.5353975074027675
 shelllike,1,14.999190752972444
 polished,1,10.956139485137893
 painted,1,10.143261848637168
 where,7,6.950003188139268
 saw,1,7.180056786477172
 seen,2,7.560954292565874
 address,1,9.62855272484478
 wearing,1,10.461229316677802
 able,1,8.649178017544049
 things,1,7.267040756820688
 hair,3,8.285020223062972
 remark,1,9.658053389241479
 repeat,1,10.416777554106968
that's ,1,9.191048262992
 north,3,9.581979856483995
 turned,1,7.51173698593794
 swinging,1,10.82096470676964
 pecking,1,13.249990898163185
 vacuumcleaner,1,15.692337933532388
 sucking,1,12.360133423357185
 putting,1,9.268279610927989
it's ,3,8.893282071473593
 right,1,7.406698560790331
 added,3,8.54006907749985
 referring,3,11.722046019980267
 music,1,9.301258691994418
 became,3,8.54990586742237
 simple,1,9.043353383507613
 dance,1,9.768082136117856
 thing,1,7.360992508686664
 face,1,6.865823494560889
 top,4,9.220764735320476
 sally,1,10.258615929978149
 described,1,10.195169708239186
 stiffening,1,13.166609289224134
 muscles,1,11.525672709730662
 gyrating,1,15.286872825424224
 tune,1,10.712161846920841
 animal,1,10.038095904436323
 dying,1,9.719801396309926
 records,1,12.325042103545915
